NAME,,,,,,,
,,,,,,,
,,,,,,,
,MONDAY,TUESDAY,WEDNESDAY,THRUSDAY,FRIDAY,SATURDAY,SUNDAY
,Rava Idli,Tomato Uttapam,Sprouts ,Set Dosa,Sprouted Moong Dal salad,white sause Cheese Pasta,Paneer Stuffed Paratha
,Sambar and chutney,Chutney,Besan Chilla with chutney,Sambar and Chutney,Sambhar Vada,Poha with jain sev,Curd
Breakfast,Coffee/Milk/Tea,Quinoa Upma,Coffee/Milk/Tea,Rava Upma,Coffee/Milk/Tea,Coffee/Milk/Tea,
,Banana,Coffee/Milk/Tea,Papaya,Coffee/Milk/Tea,Papaya,,Banana
,Bread Butter Jam,Banana,Bread Butter Jam,Banana,Bread Butter Jam,Bread Butter Jam,Coffee/Milk/Tea
,,Bread Butter Jam,,Bread Butter Jam,,,Bread Butter Jam
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Chana Masala,Gobi Matar,Rajma,Chola Masala,Methi mattar dry, veg jalfrezi,Rajma
,Tori,Dry Moong Sabzi,Veg Kofta,Raw Banana,Kadhi Pakoda,Dahi vada,Bhindi
,Roti,Methi Thepla,Roti,,Paratha,Methi Thepla,Roti
Lunch,Rice,rice,Rice,Puri,Rice,Veg Biryani with more veggies,Rice
,Salad,Tossed Salad,Salad,Rice,Salad,Salad,Salad
,Butter Milk,Butter milk,Butter Milk,Tossed Salad,Pudina Water,Raitha,Butter Milk
,Frymes,Frymes,Frymes,Curd,Papad,Papad,Papad
,Halwa,,Gulab Jamun,Frymes,Laddu,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Urad Chana Dal,Boondi Kadhi,Palak Paneer,Pav Bhaji,Palak Dal,Lobia Masala,Paneer Lababdar
,Methi Malai Mattar,Black chana,White Urad Moong,Noodles,Paneer Kofta,Sev Tamatar,Mix Dal
,Roti,Puri,Paratha,Tava Pulav,Roti,Roti,Roti
Dinner,Rice,Rice,Rice,veg Manchurian ,Rice,Curd Rice,jeera rice
,Salad,Salad,Salad,Salad,Salad,Salad,Salad
,Curd,Jeera Water,Butter milk,Thick Raitha,Butter milk,Butter Milk,Butter Milk
,Papad,Frymes,Papad,Papad,Papad,,Frymes
